Name,Wikipage,Award,Field,Research Topic,Year,Gender,Status
Robert J. Lefkowitz,https://en.wikipedia.org/wiki/Robert_Lefkowitz,Nobel,Chemistry,"Receptor Biology, Biochemistry",2012,male,alive
John B. Gurdon,https://en.wikipedia.org/wiki/John_Gurdon,Nobel,Physiology or Medicine,Developmental biology,2012,male,alive
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,Nobel,Physiology or Medicine,Stem cell ,2012,male,alive
Alvin E. Roth,https://en.wikipedia.org/wiki/Alvin_E._Roth,Nobel,Economics,"Game theory, Market design, Experimental economics",2012,male,alive
Lloyd S. Shapley,https://en.wikipedia.org/wiki/Lloyd_Shapley,Nobel,Economics,"Mathematical economics, Game theory",2012,male,dead
Richard Hynes,https://en.wikipedia.org/wiki/Richard_Hynes,Citation Laureate,Physiology or Medicine,"Stem cell, Oncology",2012,male,alive
Erkki Ruoslahti,https://en.wikipedia.org/wiki/Erkki_Ruoslahti,Citation Laureate,Physiology or Medicine,"Biology of extracellular matrix, Stem cell, Oncology",2012,male,alive
Masatoshi Takeichi,https://en.wikipedia.org/wiki/Masatoshi_Takeichi,Citation Laureate,Physiology or Medicine,Cell biology,2012,male,alive
Anthony R. Hunter,https://en.wikipedia.org/wiki/Anthony_R._Hunter,Citation Laureate,Physiology or Medicine,"Biochemistry, Oncology",2012,male,alive
Anthony Pawson,https://en.wikipedia.org/wiki/Anthony_Pawson,Citation Laureate,Physiology or Medicine,"Genetics, Microbiology",2012,male,dead
Charles David Allis,https://en.wikipedia.org/wiki/Charles_David_Allis,Citation Laureate,Physiology or Medicine,Molecular biology,2012,male,alive
Michael Grunstein,https://en.wikipedia.org/wiki/Michael_Grunstein,Citation Laureate,Physiology or Medicine,Biological Chemistry,2012,male,alive
Stephen E. Harris,https://en.wikipedia.org/wiki/Stephen_E._Harris,Citation Laureate,Physics,Electromagnetically induced transparency,2012,male,alive
Lene Hau,https://en.wikipedia.org/wiki/Lene_Hau,Citation Laureate,Physics,Nanotechnology,2012,female,alive
Leigh Canham,https://en.wikipedia.org/wiki/Leigh_Canham,Citation Laureate,Physics,Optoelectronic,2012,male,alive
Charles H. Bennett,https://en.wikipedia.org/wiki/Charles_H._Bennett_(computer_scientist),Citation Laureate,Physics,"Computer science, Quantum information",2012,male,alive
Gilles Brassard,https://en.wikipedia.org/wiki/Gilles_Brassard,Citation Laureate,Physics,"Computer Science, Cryptography, Quantum information",2012,male,alive
William Wootters,https://en.wikipedia.org/wiki/William_Wootters,Citation Laureate,Physics,Quantum information theory,2012,male,alive
Louis E. Brus,https://en.wikipedia.org/wiki/Louis_E._Brus,Citation Laureate,Chemistry,Chemical Physics,2012,male,alive
Masatake Haruta,https://de.wikipedia.org/wiki/Masatake_Haruta,Citation Laureate,Chemistry,Chemistry,2012,male,alive
Graham Hutchings,https://en.wikipedia.org/wiki/Graham_Hutchings,Citation Laureate,Chemistry,Physical Chemistry,2012,male,alive
Akira Fujishima,https://en.wikipedia.org/wiki/Akira_Fujishima,Citation Laureate,Chemistry,"Photoelectrochemistry, Photofunctional Materials, Diamond Electrochemistry",2012,male,alive
Angus Deaton,https://en.wikipedia.org/wiki/Angus_Deaton,Citation Laureate,Economics,Microeconomics,2012,male,alive
Stephen Ross,https://en.wikipedia.org/wiki/Stephen_Ross_(economist),Citation Laureate,Economics,Financial economics,2012,male,alive
Tony Atkinson,https://en.wikipedia.org/wiki/Tony_Atkinson,Citation Laureate,Economics," Economics of income distribution, Microeconomics",2012,male,alive
Robert J. Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Citation Laureate,Economics,"Financial economics, Behavioral finance",2012,male,alive
Endre Szemerédi,https://en.wikipedia.org/wiki/Endre_Szemer%C3%A9di,Abel Prize,Mathematics,"Combinatorics, Computer science, Theoretical computer science",2012,male,alive
Joseph Altman,https://en.wikipedia.org/wiki/Joseph_Altman,International Prize for Biology,Biology,Neurobiology,2012,male,alive
Silvio Micali,https://en.wikipedia.org/wiki/Silvio_Micali,Turing Award,Computer Science,"Computer Science, Cryptography",2012,male,alive
Shafi Goldwasser,https://en.wikipedia.org/wiki/Shafi_Goldwasser,Turing Award,Computer Science,"Computer science, Cryptography",2012,female,alive
John L. Hennessy,https://en.wikipedia.org/wiki/John_L._Hennessy,IEEE Medal of Honor,Computer Science,Information technology,2012,male,alive
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,Nobel,Physics,"Theoretical physics, Statistical physics, Quantum field theory, Cosmology, String theory, Supergravity",2013,male,alive
Peter W. Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Nobel,Physics,"Theoretical physics, Subatomic particles",2013,male,alive
Martin Karplus,https://en.wikipedia.org/wiki/Martin_Karplus,Nobel,Chemistry,"Quantum chemistry, Nuclear magnetic resonance spectroscopy",2013,male,alive
Michael Levitt,https://en.wikipedia.org/wiki/Michael_Levitt,Nobel,Chemistry,"Computational Structural Biology, Structure Determination, Simulation of Mesoscale Molecular Dynamics",2013,male,alive
Arieh Warshel,https://en.wikipedia.org/wiki/Arieh_Warshel,Nobel,Chemistry,"Chemistry, Biochemistry, Biophysics",2013,male,alive
James E. Rothman,https://en.wikipedia.org/wiki/James_Rothman,Nobel,Physiology or Medicine,Cell biology,2013,male,alive
Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_Schekman,Nobel,Physiology or Medicine,Biochemistry,2013,male,alive
Thomas C. Südhof,https://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof,Nobel,Physiology or Medicine,"Biochemistry, Neuroscience",2013,male,alive
Eugene F. Fama,https://en.wikipedia.org/wiki/Eugene_Fama,Nobel,Economics,"Financial economics, Organizational economics, Macroeconomics",2013,male,alive
Lars Peter Hansen,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Nobel,Economics,Macroeconomics,2013,male,alive
Robert J. Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Nobel,Economics,"Financial economics, Behavioral finance",2013,male,alive
Daniel J. Klionsky,https://de.wikipedia.org/wiki/Daniel_J._Klionsky,Citation Laureate,Physiology or Medicine,Molecular biology,2013,male,alive
Noboru Mizushima,https://de.wikipedia.org/wiki/Noboru_Mizushima,Citation Laureate,Physiology or Medicine,Autophagy,2013,male,alive
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,Citation Laureate,Physiology or Medicine,"Cell biology, Autophagy",2013,male,alive
Adrian Bird,https://en.wikipedia.org/wiki/Adrian_Bird,Citation Laureate,Physiology or Medicine,"Genetics, Epigenetics",2013,male,alive
Howard Cedar,https://en.wikipedia.org/wiki/Howard_Cedar,Citation Laureate,Physiology or Medicine,Molecular Biology,2013,male,alive
Aharon Razin,https://en.wikipedia.org/wiki/Aharon_Razin,Citation Laureate,Physiology or Medicine,"Biochemistry, Molecular biology",2013,male,alive
Dennis Slamon,https://en.wikipedia.org/wiki/Dennis_Slamon,Citation Laureate,Physiology or Medicine,"Oncology, Hematology",2013,male,alive
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,Citation Laureate,Physics,"Theoretical physics, Statistical physics, Quantum field theory, Cosmology, String theory, Supergravity",2013,male,alive
Peter W. Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Citation Laureate,Physics,"Theoretical physics, Subatomic particles",2013,male,alive
Geoffrey Marcy,https://en.wikipedia.org/wiki/Geoffrey_Marcy,Citation Laureate,Physics,"Astronomy, Astrophysics",2013,male,alive
Michel Mayor,https://en.wikipedia.org/wiki/Michel_Mayor,Citation Laureate,Physics,Astrophysics,2013,male,alive
Didier Queloz,https://en.wikipedia.org/wiki/Didier_Queloz,Citation Laureate,Physics,Astrophysics,2013,male,alive
Hideo Hosono,https://en.wikipedia.org/wiki/Hideo_Hosono,Citation Laureate,Physics,Materials science,2013,male,alive
Bruce Ames,https://en.wikipedia.org/wiki/Bruce_Ames,Citation Laureate,Chemistry,"Molecular Biology, Biochemistry",2013,male,alive
Paul Alivisatos,https://en.wikipedia.org/wiki/Paul_Alivisatos,Citation Laureate,Chemistry,Nanotechnology,2013,male,alive
Chad Mirkin,https://en.wikipedia.org/wiki/Chad_Mirkin,Citation Laureate,Chemistry,Nanotechnology,2013,male,alive
Nadrian Seeman,https://en.wikipedia.org/wiki/Nadrian_Seeman,Citation Laureate,Chemistry,"Nanotechnology, Crystallography",2013,male,alive
M. G. Finn,https://de.wikipedia.org/wiki/M._G._Finn,Citation Laureate,Chemistry,Chemistry,2013,male,alive
Valery V. Fokin,https://de.wikipedia.org/wiki/Valery_V._Fokin,Citation Laureate,Chemistry,"Catalysis, Click chemistry",2013,male,alive
Karl Barry Sharpless,https://en.wikipedia.org/wiki/Karl_Barry_Sharpless,Citation Laureate,Chemistry,Enantioselective synthesis,2013,male,alive
David Forbes Hendry,https://en.wikipedia.org/wiki/David_Forbes_Hendry,Citation Laureate,Economics,Econometrics,2013,male,alive
M. Hashem Pesaran,https://en.wikipedia.org/wiki/M._Hashem_Pesaran,Citation Laureate,Economics,Econometrics,2013,male,alive
Peter C. B. Phillips,https://en.wikipedia.org/wiki/Peter_C._B._Phillips,Citation Laureate,Economics,Econometrics,2013,male,alive
Sam Peltzman,https://en.wikipedia.org/wiki/Sam_Peltzman,Citation Laureate,Economics,"Public economy, Private economy",2013,male,alive
Richard Posner,https://en.wikipedia.org/wiki/Richard_Posner,Citation Laureate,Economics,Law and economics,2013,male,alive
Joshua Angrist,https://en.wikipedia.org/wiki/Joshua_Angrist,Citation Laureate,Economics,"Econometrics, Labour economics",2013,male,alive
David Card,https://en.wikipedia.org/wiki/David_Card,Citation Laureate,Economics,Labour economics,2013,male,alive
Alan Krueger,https://en.wikipedia.org/wiki/Alan_Krueger,Citation Laureate,Economics,Labour economics,2013,male,alive
Pierre Deligne,https://en.wikipedia.org/wiki/Pierre_Deligne,Abel Prize,Mathematics,Weil conjectures,2013,male,alive
Joseph Felsenstein,https://en.wikipedia.org/wiki/Joseph_Felsenstein,International Prize for Biology,Biology,"Systematics, Phylogenetics, Population genetics, Phylogenetic comparative methods",2013,male,alive
Leslie Lamport,https://en.wikipedia.org/wiki/Leslie_Lamport,Turing Award,Computer Science,"Computer science, Distributed systems",2013,male,alive
Irwin M. Jacobs,https://en.wikipedia.org/wiki/Irwin_M._Jacobs,IEEE Medal of Honor,Computer Science,Electrical engineering,2013,male,alive
Isamu Akasaki,https://en.wikipedia.org/wiki/Isamu_Akasaki,Nobel,Physics,Semiconductor technology,2014,male,alive
Hiroshi Amano,https://en.wikipedia.org/wiki/Hiroshi_Amano,Nobel,Physics,Semiconductor technology,2014,male,alive
Shuji Nakamura,https://en.wikipedia.org/wiki/Shuji_Nakamura,Nobel,Physics,"Solid-state physics, Engineering",2014,male,alive
Eric Betzig,https://en.wikipedia.org/wiki/Eric_Betzig,Nobel,Chemistry,Applied physics,2014,male,alive
Stefan Hell,https://en.wikipedia.org/wiki/Stefan_Hell,Nobel,Chemistry,Physical chemistry,2014,male,alive
William Moerner,https://en.wikipedia.org/wiki/William_E._Moerner,Nobel,Chemistry,"Chemistry, Applied physics, Biophysics",2014,male,alive
John O'Keefe,https://en.wikipedia.org/wiki/John_O%27Keefe_(neuroscientist),Nobel,Physiology or Medicine,Neuroscience,2014,male,alive
May-Britt Moser,https://en.wikipedia.org/wiki/May-Britt_Moser,Nobel,Physiology or Medicine,Neuroscience,2014,female,alive
Edvard Moser,https://en.wikipedia.org/wiki/Edvard_Moser,Nobel,Physiology or Medicine,Neuroscience,2014,male,alive
Jean Tirole,https://en.wikipedia.org/wiki/Jean_Tirole,Nobel,Economics,"Microeconomics, Game theory, Industrial organization",2014,male,alive
James E. Darnell,https://en.wikipedia.org/wiki/James_E._Darnell,Citation Laureate,Physiology or Medicine,"Biochemistry, Molecular Biology, Developmental Biology",2014,male,alive
David Julius,https://en.wikipedia.org/wiki/David_Julius,Citation Laureate,Physiology or Medicine,Physiology,2014,male,alive
Charles Lee,https://en.wikipedia.org/wiki/Charles_Lee_(scientist),Citation Laureate,Physiology or Medicine,"Human Genomics, Cytogenetics, Pathology",2014,male,alive
Robert G. Roeder,https://en.wikipedia.org/wiki/Robert_G._Roeder,Citation Laureate,Physiology or Medicine,Eukaryotic transcription,2014,male,alive
Stephen W. Scherer,https://en.wikipedia.org/wiki/Stephen_W._Scherer,Citation Laureate,Physiology or Medicine,"Human Genomics, Genetics",2014,male,alive
Robert Tjian,https://en.wikipedia.org/wiki/Robert_Tjian,Citation Laureate,Physiology or Medicine,Biochemistry,2014,male,alive
Michael Wigler,https://en.wikipedia.org/wiki/Michael_Wigler,Citation Laureate,Physiology or Medicine,Molecular biology,2014,male,alive
Charles L. Kane,https://en.wikipedia.org/wiki/Charles_L._Kane,Citation Laureate,Physics,"Theoretical physics, Condensed matter physics",2014,male,alive
Laurens W. Molenkamp,https://en.wikipedia.org/wiki/Laurens_W._Molenkamp,Citation Laureate,Physics,Condensed matter physics,2014,male,alive
Ramamoorthy Ramesh,https://en.wikipedia.org/wiki/Ramamoorthy_Ramesh,Citation Laureate,Physics,Materials Sciences,2014,male,alive
James F. Scott,https://de.wikipedia.org/wiki/James_F._Scott,Citation Laureate,Physics,"Quantum optics, Ferroelectric RAM",2014,male,alive
Yoshinori Tokura,https://en.wikipedia.org/wiki/Yoshinori_Tokura,Citation Laureate,Physics,"Applied Physics, Strongly correlated material",2014,male,alive
Peidong Yang,https://en.wikipedia.org/wiki/Peidong_Yang,Citation Laureate,Physics,Materials science,2014,male,alive
Shoucheng Zhang,https://en.wikipedia.org/wiki/Shoucheng_Zhang,Citation Laureate,Physics,Condensed matter physics,2014,male,alive
Graeme Moad,https://en.wikipedia.org/wiki/Graeme_Moad,Citation Laureate,Chemistry,Polymer chemistry,2014,male,alive
Charles T. Kresge,https://en.wikipedia.org/wiki/Charles_T._Kresge,Citation Laureate,Chemistry,"Inorganic synthesis,  Crystalline aluminosilicate materials",2014,male,alive
Ezio Rizzardo,https://de.wikipedia.org/wiki/Ezio_Rizzardo,Citation Laureate,Chemistry,Organic Chemistry,2014,male,alive
Ryoo Ryong,https://en.wikipedia.org/wiki/Ryoo_Ryong,Citation Laureate,Chemistry,Nanomaterials,2014,male,alive
Steven Van Slyke,https://en.wikipedia.org/wiki/Steven_Van_Slyke,Citation Laureate,Chemistry,Materials science,2014,male,alive
Galen D. Stucky,https://en.wikipedia.org/wiki/Galen_D._Stucky,Citation Laureate,Chemistry,Inorganic chemistry,2014,male,alive
Ching W. Tang,https://en.wikipedia.org/wiki/Ching_W._Tang,Citation Laureate,Chemistry, Chemical Engineering,2014,male,alive
Philippe Aghion,https://en.wikipedia.org/wiki/Philippe_Aghion,Citation Laureate,Economics,"New Dynamics, Endogenous growth theory, Econometrics, Macroeconomics",2014,male,alive
William Baumol,https://en.wikipedia.org/wiki/William_Baumol,Citation Laureate,Economics,"Microeconomics, Industrial organization, Entrepreneurshi",2014,male,alive
Mark Granovetter,https://en.wikipedia.org/wiki/Mark_Granovetter,Citation Laureate,Economics,"Economic sociology, Social network",2014,male,alive
Peter Howitt,https://en.wikipedia.org/wiki/Peter_Howitt_(economist),Citation Laureate,Economics,"New Dynamics, Monetary economics, Macroeconomics",2014,male,alive
Israel Kirzner,https://en.wikipedia.org/wiki/Israel_Kirzner,Citation Laureate,Economics,Economics,2014,male,alive
Artur Avila,https://en.wikipedia.org/wiki/Artur_Avila,Fields Medal,Mathematics,"Dynamical system, Spectral theory",2014,male,alive
Manjul Bhargava,https://en.wikipedia.org/wiki/Manjul_Bhargava,Fields Medal,Mathematics,Number theory,2014,male,alive
Martin Hairer,https://en.wikipedia.org/wiki/Martin_Hairer,Fields Medal,Mathematics,Probability theory,2014,male,alive
Maryam Mirzakhani,https://en.wikipedia.org/wiki/Maryam_Mirzakhani,Fields Medal,Mathematics,"Teichmüller theory, Hyperbolic geometry, Ergodic theory, Symplectic geometry",2014,female,alive
Yakov Sinai,https://en.wikipedia.org/wiki/Yakov_Sinai,Abel Prize,Mathematics,"Dynamical system, Mathematical physics, Probability theory",2014,male,alive
Peter Crane,https://en.wikipedia.org/wiki/Peter_Crane,International Prize for Biology,Biology,Biology,2014,male,alive
Michael Stonebraker,https://en.wikipedia.org/wiki/Michael_Stonebraker,Turing Award,Computer Science,Computer Science,2014,male,alive
B. Jayant Baliga,https://en.wikipedia.org/wiki/B._Jayant_Baliga,IEEE Medal of Honor,Computer Science,Electrical engineering,2014,male,alive
Takaaki Kajita,https://en.wikipedia.org/wiki/Takaaki_Kajita,Nobel,Physics,Cosmology,2015,male,alive
Arthur B. McDonald,https://en.wikipedia.org/wiki/Arthur_B._McDonald,Nobel,Physics,Astrophysics,2015,male,alive
Tomas Lindahl,https://en.wikipedia.org/wiki/Tomas_Lindahl,Nobel,Chemistry,"Cancer research, DNA repair",2015,male,alive
Paul L. Modrich,https://en.wikipedia.org/wiki/Paul_L._Modrich,Nobel,Chemistry,DNA mismatch repair,2015,male,alive
Aziz Sancar,https://en.wikipedia.org/wiki/Aziz_Sancar,Nobel,Chemistry,"Biochemistry, Molecular biology, DNA repair, Molecular biophysics, Cancer research",2015,male,alive
William C. Campbell,https://en.wikipedia.org/wiki/William_C._Campbell_(scientist),Nobel,Physiology or Medicine,Parasitic diseases,2015,male,alive
Satoshi ?mura,https://en.wikipedia.org/wiki/Satoshi_%C5%8Cmura,Nobel,Physiology or Medicine,Biochemistry,2015,male,alive
Tu Youyou,https://en.wikipedia.org/wiki/Tu_Youyou,Nobel,Physiology or Medicine,"Medicinal chemistry, Chinese herbology, Antimalarial medication, Clinical research",2015,female,alive
Angus Deaton,https://en.wikipedia.org/wiki/Angus_Deaton,Nobel,Economics,Microeconomics,2015,male,alive
Jeffrey I. Gordon,https://en.wikipedia.org/wiki/Jeffrey_I._Gordon,Citation Laureate,Physiology or Medicine,Medicine,2015,male,alive
Kazutoshi Mori,https://en.wikipedia.org/wiki/Kazutoshi_Mori,Citation Laureate,Physiology or Medicine,"Molecular biology, Cell biology",2015,male,alive
Peter Walter,https://en.wikipedia.org/wiki/Peter_Walter,Citation Laureate,Physiology or Medicine,"Molecular biology, Biochemistry",2015,male,alive
Alexander Y. Rudensky,https://de.wikipedia.org/wiki/Alexander_Y._Rudensky,Citation Laureate,Physiology or Medicine,Immunology,2015,male,alive
Shimon Sakaguchi,https://en.wikipedia.org/wiki/Shimon_Sakaguchi,Citation Laureate,Physiology or Medicine,"Pathology, Immunology",2015,male,alive
Ethan M. Shevach,https://de.wikipedia.org/wiki/Ethan_M._Shevach,Citation Laureate,Physiology or Medicine,Immunology,2015,male,alive
Paul Corkum,https://en.wikipedia.org/wiki/Paul_Corkum,Citation Laureate,Physics,"Attosecond physics, Laser science",2015,male,alive
Ferenc Krausz,https://en.wikipedia.org/wiki/Ferenc_Krausz,Citation Laureate,Physics,"Quantum field theory, Attophysics",2015,male,alive
Deborah S. Jin,https://en.wikipedia.org/wiki/Deborah_S._Jin,Citation Laureate,Physics,Polar molecular quantum chemistry,2015,female,alive
Zhong Lin Wang,https://en.wikipedia.org/wiki/Zhong_Lin_Wang,Citation Laureate,Physics,"Materials Science, Engineering",2015,male,alive
Carolyn R. Bertozzi,https://en.wikipedia.org/wiki/Carolyn_R._Bertozzi,Citation Laureate,Chemistry,"Chemical synthesis, Oligosaccharide",2015,female,alive
Emmanuelle Charpentier,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier,Citation Laureate,Chemistry,"Microbiology, Genetics, Biochemistry",2015,female,alive
Jennifer Doudna,https://en.wikipedia.org/wiki/Jennifer_Doudna,Citation Laureate,Chemistry,Biochemistry,2015,female,alive
John B. Goodenough,https://en.wikipedia.org/wiki/John_B._Goodenough,Citation Laureate,Chemistry,Solid-state physics,2015,male,alive
M Stanley Whittingham,https://en.wikipedia.org/wiki/M_Stanley_Whittingham,Citation Laureate,Chemistry,Chemistry,2015,male,alive
Richard Blundell,https://en.wikipedia.org/wiki/Richard_Blundell,Citation Laureate,Economics,Econometrics,2015,male,alive
John A. List,https://en.wikipedia.org/wiki/John_A._List,Citation Laureate,Economics,"Prospect theory, Environmental economic",2015,male,alive
Charles F. Manski,https://en.wikipedia.org/wiki/Charles_F._Manski,Citation Laureate,Economics,Econometrics,2015,male,alive
Louis Nirenberg,https://en.wikipedia.org/wiki/Louis_Nirenberg,Abel Prize,Mathematics,Differential equations,2015,male,alive
John Forbes Nash Jr.,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.,Abel Prize,Mathematics,"Game theory, Differential geometry, Partial differential equations",2015,male,dead
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,International Prize for Biology,Biology,"Autophagy, Cell biology",2015,male,alive
Martin Hellman,https://en.wikipedia.org/wiki/Martin_Hellman,Turing Award,Computer Science,"Cryptography, Computer science, Electrical engineering",2015,male,alive
Whitfield Diffie,https://en.wikipedia.org/wiki/Whitfield_Diffie,Turing Award,Computer Science,Cryptography,2015,male,alive
Mildred Dresselhaus,https://en.wikipedia.org/wiki/Mildred_Dresselhaus,IEEE Medal of Honor,Computer Science,"Applied physics, Electrical engineering ",2015,female,alive
